Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.441246,0.127225,0.691438,0.118493,0.018593000000000002,0.048389999999999996,0.0,0.7683479999999999,0.652319,0.000231,0.127225
No,0.92268,0.277186,0.696287,0.016916,0.183753,0.091626,0.25,0.26315900000000003,0.010205,1e-06,0.277186
No,0.36838200000000004,0.122821,0.70508,0.47914399999999996,0.266336,0.194262,0.25,0.6470899999999999,0.690595,0.000254,0.122821
Yes,0.625753,0.261888,0.694575,0.014493,0.105702,0.003201,0.25,0.40437199999999995,0.05011,1.6e-05,0.261888
Yes,0.437288,0.48276899999999995,0.696293,0.004921,0.042399,0.026056,0.5,0.044429,0.0006360000000000001,0.0,0.48276899999999995
No,0.7179449999999999,0.14937899999999998,0.702019,0.192992,0.15099500000000002,0.363883,0.25,0.307841,0.571746,0.000263,0.14937899999999998
No,0.661373,0.118802,0.671493,0.15358,0.083747,0.059985000000000004,0.25,0.567869,0.724962,0.000278,0.118802
No,0.274807,0.13003900000000002,0.756929,0.27947,0.096755,0.423828,0.25,0.726097,0.688178,0.000303,0.13003900000000002
No,0.676847,0.12383800000000002,0.708354,0.14342,0.0203,0.034626,0.25,0.588734,0.6818,0.00024900000000000004,0.12383800000000002
No,0.9898030000000001,0.147645,0.722001,0.37890100000000004,0.219038,0.131852,0.25,0.697229,0.744745,0.0006450000000000001,0.147645
Yes,0.8838809999999999,0.232298,0.691862,0.00967,0.028222000000000004,0.023794,0.25,0.45266899999999993,0.068989,1.4999999999999999e-05,0.232298
No,0.011842,0.093803,0.69523,0.215583,0.095966,0.24392600000000003,0.25,0.758004,0.78076,0.000194,0.093803
No,0.959774,0.149099,0.672473,0.262625,0.07816100000000001,0.046168,0.25,0.771208,0.762518,0.0007379999999999999,0.149099
No,0.588152,0.172783,0.672896,0.187313,0.32524400000000003,0.301712,0.25,0.7404689999999999,0.7267359999999999,0.001062,0.172783
No,0.272494,0.134364,0.677076,0.21498699999999998,0.292935,0.165365,0.25,0.7531909999999999,0.650564,0.000276,0.134364
No,0.864399,0.165117,0.6942159999999999,0.23780300000000001,0.50689,0.40619,0.25,0.692226,0.559553,0.000365,0.165117
No,0.754157,0.091292,0.68503,0.29730300000000004,0.167502,0.131287,0.25,0.77315,0.693444,0.000103,0.091292
Yes,0.181241,0.486177,0.696263,0.00564,0.001663,0.01825,0.75,0.054116,0.0028,8e-06,0.486177
No,0.015493,0.154831,0.670396,0.149114,0.058419000000000006,0.035249,0.25,0.771208,0.714539,0.00065,0.154831
No,0.27011599999999997,0.12179200000000001,0.6809270000000001,0.223356,0.211993,0.18246700000000002,0.25,0.7668020000000001,0.6280319999999999,0.000174,0.12179200000000001
No,0.578412,0.07347000000000001,0.7110609999999999,0.173197,0.319133,0.29844899999999996,0.25,0.7404689999999999,0.689752,5.1e-05,0.07347000000000001
Yes,0.27829,0.443395,0.696152,0.004713,0.008956,0.016086000000000003,1.0,0.266029,0.003812,6e-06,0.443395
No,0.45519499999999996,0.161173,0.688311,0.41698599999999997,0.039981,0.089239,0.25,0.6063729999999999,0.515925,0.00026000000000000003,0.161173
No,0.8861110000000001,0.114639,0.686282,0.32859,0.14135599999999998,0.38611,0.25,0.372431,0.759716,0.000305,0.114639
No,0.52289,0.138239,0.6707,0.28075,0.26153699999999996,0.196048,0.25,0.767332,0.8201870000000001,0.000795,0.138239
No,0.316293,0.271519,0.696326,0.011072,0.128666,0.016711,0.25,0.276477,0.005787,0.0,0.271519
Yes,0.420649,0.395374,0.696348,0.006271,0.045665,0.016205,0.75,0.127385,0.000739,0.0,0.395374
No,0.923474,0.07312,0.720272,0.21004499999999998,0.276305,0.148281,0.25,0.7579100000000001,0.8407319999999999,0.000154,0.07312
No,0.42242700000000005,0.154198,0.662438,0.21476900000000002,0.20163599999999998,0.162934,0.25,0.767332,0.855447,0.0014449999999999999,0.154198
No,0.47779099999999997,0.14968499999999998,0.676489,0.086641,0.013408000000000002,0.008161,0.0,0.578771,0.6154390000000001,0.000336,0.14968499999999998
Yes,0.917718,0.47962,0.6963,0.007073,0.030664,0.011318,0.75,0.289544,0.000227,0.0,0.47962
Yes,0.0005200000000000001,0.49953100000000006,0.696267,0.005424,0.015059000000000001,0.022917,0.5,0.403306,0.000475,0.0,0.49953100000000006
No,0.03228,0.08849299999999999,0.7271350000000001,0.225823,0.06354299999999999,0.305712,0.25,0.743992,0.9466979999999999,0.000545,0.08849299999999999
No,0.391324,0.149694,0.700803,0.37808,0.021619,0.10103999999999999,0.25,0.6063729999999999,0.569006,0.000261,0.149694
No,0.3521,0.122798,0.6802739999999999,0.265802,0.097821,0.067992,0.25,0.7724840000000001,0.619211,0.00016999999999999999,0.122798
No,0.93663,0.1476,0.69889,0.170048,0.022312000000000002,0.142056,0.25,0.46509700000000004,0.633716,0.000352,0.1476
No,0.302686,0.025730000000000003,0.739985,0.260708,0.10242000000000001,0.42000299999999996,0.25,0.726097,0.825248,0.0,0.025730000000000003
Yes,0.659126,0.482691,0.6963020000000001,0.005005,0.0,0.050259,0.5,0.11015699999999999,0.000584,0.0,0.482691
No,0.217858,0.138655,0.721816,0.09819,0.02603,0.011816,0.5,0.7724840000000001,0.711338,0.00043,0.138655
